type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
"appartements, à vendre",oulfa,1.0,54.0,54.0,2.0,1.0,1.0,20,300000.0
"appartements, à vendre",laimoune,1.0,74.0,74.0,2.0,2.0,1.0,10,750000.0
"appartements, à vendre",sidi maarouf,2.0,100.0,115.0,3.0,2.0,1.0,10,1100000.0
"appartements, à vendre",anfa,4.0,179.0,222.0,3.0,2.0,1.0,10,3000000.0
"appartements, à vendre",beauséjour,1.0,118.0,118.0,2.0,2.0,2.0,5,2000000.0
"appartements, à vendre",sidi moumen,4.0,65.0,65.0,1.0,1.0,2.0,15,280000.0
"appartements, à vendre",autre secteur,1.0,104.0,104.0,2.0,2.0,2.0,1,9900.0
"appartements, à vendre",sidi moumen,4.0,57.0,57.0,2.0,1.0,1.0,15,300000.0
"appartements, à vendre",californie,1.0,166.0,166.0,3.0,3.0,2.0,10,2650000.0
"appartements, à vendre",aïn sebaâ,3.0,112.0,112.0,2.0,1.0,1.0,15,3200000.0
"appartements, à vendre",aïn diab,1.0,52.0,52.0,2.0,1.0,1.0,15,40.0
"appartements, à vendre",sidi maarouf,1.0,61.0,61.0,2.0,1.0,1.0,1,603900.0
"appartements, à vendre",californie,1.0,48.0,48.0,1.0,1.0,1.0,5,740000.0
"appartements, à vendre",gauthier,7.0,180.0,225.0,3.0,2.0,2.0,15,3300000.0
"appartements, à vendre",ben ejdia,1.0,50.0,50.0,1.0,1.0,1.0,5,720000.0
"appartements, à vendre",sidi maarouf,1.0,64.0,64.0,2.0,1.0,1.0,5,520000.0
"appartements, à vendre",californie,2.0,94.0,94.0,2.0,2.0,1.0,5,1600000.0
"appartements, à vendre",oulfa,2.0,128.0,128.0,3.0,2.0,1.0,5,1600000.0
"appartements, à vendre",belvédère,7.0,80.0,80.0,2.0,1.0,1.0,15,1050000.0
"appartements, à vendre",californie,2.0,105.0,105.0,2.0,2.0,1.0,5,1680000.0
"appartements, à vendre",2 mars,1.0,190.0,214.0,3.0,3.0,3.0,10,2500000.0
"appartements, à vendre",californie,3.0,158.0,158.0,3.0,2.0,2.0,5,2950000.0
"appartements, à vendre",sidi maarouf,0.0,130.0,131.0,2.0,1.0,1.0,10,820000.0
"appartements, à vendre",californie,2.0,133.0,160.0,3.0,3.0,1.0,5,1900000.0
"appartements, à vendre",sidi maarouf,1.0,160.0,160.0,3.0,3.0,2.0,1,1050000.0
"appartements, à vendre",aïn chock,2.0,99.0,99.0,2.0,1.0,1.0,10,1100000.0
"appartements, à vendre",bourgogne,0.0,86.0,86.0,2.0,1.0,1.0,15,1000000.0
"appartements, à vendre",belvédère,7.0,210.0,210.0,4.0,2.0,2.0,20,1570000.0
"appartements, à vendre",gauthier,3.0,206.0,206.0,3.0,4.0,3.0,15,3200000.0
"appartements, à vendre",oulfa,5.0,48.0,52.0,1.0,1.0,1.0,5,1050000.0
"appartements, à vendre",belvédère,4.0,84.0,84.0,2.0,2.0,1.0,20,730000.0
"appartements, à vendre",sidi maarouf,1.0,75.0,75.0,2.0,2.0,1.0,1,712500.0
"appartements, à vendre",val fleuri,1.0,117.0,117.0,2.0,2.0,1.0,15,1760000.0
"appartements, à vendre",gauthier,1.0,197.0,197.0,3.0,3.0,1.0,20,2760000.0
"appartements, à vendre",quartier des hôpitaux,0.0,92.0,92.0,2.0,1.0,1.0,20,900000.0
"appartements, à vendre",ferme bretone,1.0,97.0,103.0,2.0,2.0,1.0,1,1850000.0
"appartements, à vendre",belvédère,3.0,115.0,115.0,2.0,2.0,1.0,20,860000.0
"appartements, à vendre",maarif,4.0,116.0,116.0,3.0,2.0,1.0,20,1450000.0
"appartements, à vendre",maarif,5.0,138.0,138.0,3.0,2.0,1.0,15,1900000.0
"appartements, à vendre",oulfa,3.0,68.0,68.0,2.0,1.0,1.0,10,650000.0
"appartements, à vendre",oulfa,1.0,52.0,52.0,2.0,1.0,1.0,10,300000.0
"appartements, à vendre",hay hassani,3.0,54.0,54.0,2.0,1.0,1.0,10,340000.0
"appartements, à vendre",oulfa,3.0,82.0,82.0,2.0,1.0,1.0,10,820000.0
"appartements, à vendre",oulfa,3.0,68.0,68.0,2.0,1.0,1.0,10,650000.0
"appartements, à vendre",ben ejdia,2.0,147.0,147.0,3.0,1.0,2.0,10,1300000.0
"appartements, à vendre",oulfa,2.0,50.0,55.0,2.0,1.0,1.0,5,300000.0
"appartements, à vendre",la gironde,6.0,121.0,121.0,3.0,2.0,1.0,15,1100000.0
